file_id,branch_id,model,odd_ratio_post_before,odd_ratio_post_after,odd_ratio_post_reduction,warp_magnitude,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000294750],1,odd_cubic,56.49664840970754,56.49664840970754,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000294750],1,odd_kink,56.49664840970754,53.02997132582636,0.06136075646012159,0.019305248071480166,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000295500],1,odd_cubic,53.733363226846585,53.733363226846585,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000295500],1,odd_kink,53.733363226846585,53.73336322684654,7.934095613115405e-16,2.925762433745387e-05,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000296250],1,odd_cubic,69.2103694602324,69.2103694602324,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000296250],1,odd_kink,69.2103694602324,69.21036946023273,-4.722553296546852e-15,9.623205561316315e-06,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000297000],1,odd_cubic,55.98034931439645,55.98034931439645,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000297000],1,odd_kink,55.98034931439645,55.9803493143966,-2.6654705863231854e-15,7.913588996649009e-06,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000297750],1,odd_cubic,58.00599448118773,58.00599448118773,0.0,0.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[0.000297750],1,odd_kink,58.00599448118773,58.005994481190754,-5.218274561812233e-14,7.94494427488425e-06,6.0
