file_id,n_branches,n_parity_valid,odd_ratio_post_branchsafe,odd_ratio_post_dispersion,delta_odd_ratio_post,I_knee_norm_branchsafe,delta_I_knee_norm,parity_lock_fraction,parity_lock_consistency,pipeline_version
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000059250],1,1,7.22750485361268,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000060000],1,1,7.337058364568275,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000060750],1,1,7.483773371370643,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000061500],1,1,7.395492345615805,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000062250],1,1,6.777030368621825,0.0,0.0,0.5614035087719299,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000063000],1,1,6.600278522764135,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000063750],1,1,6.711075520858644,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000064500],1,1,6.516930563310765,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000065250],1,1,6.642990228698039,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000066000],1,1,6.735855946258986,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000066750],1,1,6.89945442107108,0.0,0.0,0.5588972431077694,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000067500],1,1,6.68698362212649,0.0,0.0,0.5588972431077693,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000068250],1,1,6.405649121838621,0.0,0.0,0.5614035087719299,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000069000],1,1,6.627246766816774,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000069750],1,1,6.47210855435488,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000070500],1,1,6.352327047960296,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000071250],1,1,6.533089937506593,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000072000],1,1,6.484125219662303,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000072750],1,1,6.698123336823392,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000073500],1,1,6.566078565669996,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000074250],1,1,6.595277159264439,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000075000],1,1,6.503476783361743,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000075750],1,1,6.722024072411783,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000076500],1,1,7.07227385083506,0.0,0.0,0.5614035087719299,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000077250],1,1,7.009951209610526,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000078000],1,1,6.642523382659661,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000078750],1,1,6.705401153097277,0.0,0.0,0.5614035087719298,0.0,0.0,1.0,6.0
D4.2__Fig 2__SQUID_data__IVB_BS30_A1S1_I_coil_+-0.3mA_fine_284mK_191103__IVB__T_1p40K[-0.000079500],1,1,6.77586702779857,0.0,0.0,0.5639097744360901,0.0,0.0,1.0,6.0
